[ 1797.474085] nouveau 0000:09:00.0: devinit: 0x0000a060[ ]: 		0x00000000 *
[ 1797.474086] nouveau 0000:09:00.0: devinit: 0x0000a064[ ]: 		0x37373737
[ 1797.474088] nouveau 0000:09:00.0: devinit: 0x0000a068[ ]: 	}
[ 1797.474090] nouveau 0000:09:00.0: devinit: 0x0000a068[ ]: 	R[0x11ed78] = {
[ 1797.474091] nouveau 0000:09:00.0: devinit: 0x0000a068[ ]: 		0x00000000
[ 1797.474093] nouveau 0000:09:00.0: devinit: 0x0000a06c[ ]: 		0x00000000
[ 1797.474095] nouveau 0000:09:00.0: devinit: 0x0000a070[ ]: 		0x00000000
[ 1797.474096] nouveau 0000:09:00.0: devinit: 0x0000a074[ ]: 		0x00000000
[ 1797.474098] nouveau 0000:09:00.0: devinit: 0x0000a078[ ]: 		0x00000000
[ 1797.474099] nouveau 0000:09:00.0: devinit: 0x0000a07c[ ]: 		0x00000000
[ 1797.474101] nouveau 0000:09:00.0: devinit: 0x0000a080[ ]: 		0x00000000 *
[ 1797.474103] nouveau 0000:09:00.0: devinit: 0x0000a084[ ]: 		0x37373737
[ 1797.474104] nouveau 0000:09:00.0: devinit: 0x0000a088[ ]: 	}
[ 1797.474106] nouveau 0000:09:00.0: devinit: 0x0000a088[ ]: 	R[0x11ed7c] = {
[ 1797.474108] nouveau 0000:09:00.0: devinit: 0x0000a088[ ]: 		0x00000000
[ 1797.474109] nouveau 0000:09:00.0: devinit: 0x0000a08c[ ]: 		0x00000000
[ 1797.474111] nouveau 0000:09:00.0: devinit: 0x0000a090[ ]: 		0x00000000
[ 1797.474113] nouveau 0000:09:00.0: devinit: 0x0000a094[ ]: 		0x00000000
[ 1797.474114] nouveau 0000:09:00.0: devinit: 0x0000a098[ ]: 		0x00000000
[ 1797.474116] nouveau 0000:09:00.0: devinit: 0x0000a09c[ ]: 		0x00000000
[ 1797.474118] nouveau 0000:09:00.0: devinit: 0x0000a0a0[ ]: 		0x00000000 *
[ 1797.474119] nouveau 0000:09:00.0: devinit: 0x0000a0a4[ ]: 		0x37373737
[ 1797.474121] nouveau 0000:09:00.0: devinit: 0x0000a0a8[ ]: 	}
[ 1797.474123] nouveau 0000:09:00.0: devinit: 0x0000a0a8[ ]: RAM_RESTRICT_ZM_REG_GROUP	R[0x0011ed84] 0x04 0x04
[ 1797.474125] nouveau 0000:09:00.0: devinit: 0x0000a0af[ ]: 	R[0x11ed84] = {
[ 1797.474126] nouveau 0000:09:00.0: devinit: 0x0000a0af[ ]: 		0x00000000
[ 1797.474128] nouveau 0000:09:00.0: devinit: 0x0000a0b3[ ]: 		0x00000000
[ 1797.474129] nouveau 0000:09:00.0: devinit: 0x0000a0b7[ ]: 		0x00000000
[ 1797.474131] nouveau 0000:09:00.0: devinit: 0x0000a0bb[ ]: 		0x00000000
[ 1797.474133] nouveau 0000:09:00.0: devinit: 0x0000a0bf[ ]: 		0x00000000
[ 1797.474134] nouveau 0000:09:00.0: devinit: 0x0000a0c3[ ]: 		0x00000000
[ 1797.474136] nouveau 0000:09:00.0: devinit: 0x0000a0c7[ ]: 		0x00000000 *
[ 1797.474138] nouveau 0000:09:00.0: devinit: 0x0000a0cb[ ]: 		0x37373737
[ 1797.474139] nouveau 0000:09:00.0: devinit: 0x0000a0cf[ ]: 	}
[ 1797.474141] nouveau 0000:09:00.0: devinit: 0x0000a0cf[ ]: 	R[0x11ed88] = {
[ 1797.474143] nouveau 0000:09:00.0: devinit: 0x0000a0cf[ ]: 		0x00000000
[ 1797.474144] nouveau 0000:09:00.0: devinit: 0x0000a0d3[ ]: 		0x00000000
[ 1797.474146] nouveau 0000:09:00.0: devinit: 0x0000a0d7[ ]: 		0x00000000
[ 1797.474147] nouveau 0000:09:00.0: devinit: 0x0000a0db[ ]: 		0x00000000
[ 1797.474149] nouveau 0000:09:00.0: devinit: 0x0000a0df[ ]: 		0x00000000
[ 1797.474151] nouveau 0000:09:00.0: devinit: 0x0000a0e3[ ]: 		0x00000000
[ 1797.474152] nouveau 0000:09:00.0: devinit: 0x0000a0e7[ ]: 		0x00000000 *
[ 1797.474154] nouveau 0000:09:00.0: devinit: 0x0000a0eb[ ]: 		0x37373737
[ 1797.474156] nouveau 0000:09:00.0: devinit: 0x0000a0ef[ ]: 	}
[ 1797.474157] nouveau 0000:09:00.0: devinit: 0x0000a0ef[ ]: 	R[0x11ed8c] = {
[ 1797.474159] nouveau 0000:09:00.0: devinit: 0x0000a0ef[ ]: 		0x00000000
[ 1797.474161] nouveau 0000:09:00.0: devinit: 0x0000a0f3[ ]: 		0x00000000
[ 1797.474162] nouveau 0000:09:00.0: devinit: 0x0000a0f7[ ]: 		0x00000000
[ 1797.474164] nouveau 0000:09:00.0: devinit: 0x0000a0fb[ ]: 		0x00000000
[ 1797.474166] nouveau 0000:09:00.0: devinit: 0x0000a0ff[ ]: 		0x00000000
[ 1797.474167] nouveau 0000:09:00.0: devinit: 0x0000a103[ ]: 		0x00000000
[ 1797.474169] nouveau 0000:09:00.0: devinit: 0x0000a107[ ]: 		0x00000000 *
[ 1797.474171] nouveau 0000:09:00.0: devinit: 0x0000a10b[ ]: 		0x37373737
[ 1797.474172] nouveau 0000:09:00.0: devinit: 0x0000a10f[ ]: 	}
[ 1797.474174] nouveau 0000:09:00.0: devinit: 0x0000a10f[ ]: 	R[0x11ed90] = {
[ 1797.474176] nouveau 0000:09:00.0: devinit: 0x0000a10f[ ]: 		0x00000000
[ 1797.474177] nouveau 0000:09:00.0: devinit: 0x0000a113[ ]: 		0x00000000
[ 1797.474179] nouveau 0000:09:00.0: devinit: 0x0000a117[ ]: 		0x00000000
[ 1797.474181] nouveau 0000:09:00.0: devinit: 0x0000a11b[ ]: 		0x00000000
[ 1797.474182] nouveau 0000:09:00.0: devinit: 0x0000a11f[ ]: 		0x00000000
[ 1797.474184] nouveau 0000:09:00.0: devinit: 0x0000a123[ ]: 		0x00000000
[ 1797.474186] nouveau 0000:09:00.0: devinit: 0x0000a127[ ]: 		0x00000000 *
[ 1797.474187] nouveau 0000:09:00.0: devinit: 0x0000a12b[ ]: 		0x37373737
[ 1797.474189] nouveau 0000:09:00.0: devinit: 0x0000a12f[ ]: 	}
[ 1797.474191] nouveau 0000:09:00.0: devinit: 0x0000a12f[ ]: RAM_RESTRICT_ZM_REG_GROUP	R[0x0011ec20] 0x0c 0x08
[ 1797.474193] nouveau 0000:09:00.0: devinit: 0x0000a136[ ]: 	R[0x11ec20] = {
[ 1797.474194] nouveau 0000:09:00.0: devinit: 0x0000a136[ ]: 		0x05050505
[ 1797.474196] nouveau 0000:09:00.0: devinit: 0x0000a13a[ ]: 		0x05050505
[ 1797.474198] nouveau 0000:09:00.0: devinit: 0x0000a13e[ ]: 		0x05050505
[ 1797.474203] nouveau 0000:09:00.0: devinit: 0x0000a142[ ]: 		0x05050505
[ 1797.474205] nouveau 0000:09:00.0: devinit: 0x0000a146[ ]: 		0x05050505
[ 1797.474207] nouveau 0000:09:00.0: devinit: 0x0000a14a[ ]: 		0x05050505
[ 1797.474208] nouveau 0000:09:00.0: devinit: 0x0000a14e[ ]: 		0x05050505 *
[ 1797.474210] nouveau 0000:09:00.0: devinit: 0x0000a152[ ]: 		0x05050505
[ 1797.474212] nouveau 0000:09:00.0: devinit: 0x0000a156[ ]: 	}
[ 1797.474213] nouveau 0000:09:00.0: devinit: 0x0000a156[ ]: 	R[0x11ec2c] = {
[ 1797.474215] nouveau 0000:09:00.0: devinit: 0x0000a156[ ]: 		0x05050505
[ 1797.474217] nouveau 0000:09:00.0: devinit: 0x0000a15a[ ]: 		0x05050505
[ 1797.474218] nouveau 0000:09:00.0: devinit: 0x0000a15e[ ]: 		0x05050505
[ 1797.474220] nouveau 0000:09:00.0: devinit: 0x0000a162[ ]: 		0x05050505
[ 1797.474222] nouveau 0000:09:00.0: devinit: 0x0000a166[ ]: 		0x05050505
[ 1797.474223] nouveau 0000:09:00.0: devinit: 0x0000a16a[ ]: 		0x05050505
[ 1797.474225] nouveau 0000:09:00.0: devinit: 0x0000a16e[ ]: 		0x05050505 *
[ 1797.474227] nouveau 0000:09:00.0: devinit: 0x0000a172[ ]: 		0x05050505
[ 1797.474229] nouveau 0000:09:00.0: devinit: 0x0000a176[ ]: 	}
[ 1797.474230] nouveau 0000:09:00.0: devinit: 0x0000a176[ ]: 	R[0x11ec38] = {
[ 1797.474232] nouveau 0000:09:00.0: devinit: 0x0000a176[ ]: 		0x05050505
[ 1797.474233] nouveau 0000:09:00.0: devinit: 0x0000a17a[ ]: 		0x05050505
[ 1797.474235] nouveau 0000:09:00.0: devinit: 0x0000a17e[ ]: 		0x05050505
[ 1797.474237] nouveau 0000:09:00.0: devinit: 0x0000a182[ ]: 		0x05050505
[ 1797.474238] nouveau 0000:09:00.0: devinit: 0x0000a186[ ]: 		0x05050505
[ 1797.474240] nouveau 0000:09:00.0: devinit: 0x0000a18a[ ]: 		0x05050505
[ 1797.474242] nouveau 0000:09:00.0: devinit: 0x0000a18e[ ]: 		0x05050505 *
[ 1797.474243] nouveau 0000:09:00.0: devinit: 0x0000a192[ ]: 		0x05050505
[ 1797.474245] nouveau 0000:09:00.0: devinit: 0x0000a196[ ]: 	}
[ 1797.474246] nouveau 0000:09:00.0: devinit: 0x0000a196[ ]: 	R[0x11ec44] = {
[ 1797.474248] nouveau 0000:09:00.0: devinit: 0x0000a196[ ]: 		0x05050505
[ 1797.474250] nouveau 0000:09:00.0: devinit: 0x0000a19a[ ]: 		0x05050505
[ 1797.474251] nouveau 0000:09:00.0: devinit: 0x0000a19e[ ]: 		0x05050505
[ 1797.474253] nouveau 0000:09:00.0: devinit: 0x0000a1a2[ ]: 		0x05050505
[ 1797.474255] nouveau 0000:09:00.0: devinit: 0x0000a1a6[ ]: 		0x05050505
[ 1797.474256] nouveau 0000:09:00.0: devinit: 0x0000a1aa[ ]: 		0x05050505
[ 1797.474258] nouveau 0000:09:00.0: devinit: 0x0000a1ae[ ]: 		0x05050505 *
[ 1797.474260] nouveau 0000:09:00.0: devinit: 0x0000a1b2[ ]: 		0x05050505
[ 1797.474261] nouveau 0000:09:00.0: devinit: 0x0000a1b6[ ]: 	}
[ 1797.474263] nouveau 0000:09:00.0: devinit: 0x0000a1b6[ ]: 	R[0x11ec50] = {
[ 1797.474265] nouveau 0000:09:00.0: devinit: 0x0000a1b6[ ]: 		0x05050505
[ 1797.474266] nouveau 0000:09:00.0: devinit: 0x0000a1ba[ ]: 		0x05050505
[ 1797.474268] nouveau 0000:09:00.0: devinit: 0x0000a1be[ ]: 		0x05050505
[ 1797.474270] nouveau 0000:09:00.0: devinit: 0x0000a1c2[ ]: 		0x05050505
[ 1797.474271] nouveau 0000:09:00.0: devinit: 0x0000a1c6[ ]: 		0x05050505
